id,type,ebox_id,lat,lon
AA0000018BE6,light,AA000001169B,41.290004,1.718554
AA0000018BE7,light,AA000001169B,41.289668,1.719295
AA0000018BE8,light,AA000001169B,41.289372,1.719741
AA0000018BE9,light,AA000001169B,41.288828,1.720247
AA0000018BEB,light,AA000001169B,41.289228,1.719931
AA0000018BEC,light,AA000001169B,41.289004,1.720202
AA0000018BEE,light,AA000001169B,41.28564,1.721664
AA0000018BEF,light,AA000001169B,41.287392,1.719796
AA0000018BF0,light,AA000001169B,41.284072,1.719207
AA0000018BF1,light,AA000001169B,41.285652,1.722061
AA0000018BF3,light,AA000001169B,41.28748,1.719432
AA0000018BF4,light,AA000001169B,41.284264,1.721539
AA0000018BF5,light,AA000001169B,41.28486,1.721652
AA0000018BF6,light,AA000001169B,41.284832,1.72209
AA0000018BF7,light,AA000001169B,41.28462,1.72144
AA0000018BF8,light,AA000001169B,41.284872,1.721436
AA0000018BF9,light,AA000001169B,41.284848,1.721858
AA0000018BFA,light,AA000001169B,41.284804,1.722604
AA0000018BFB,light,AA000001169B,41.284768,1.723111
AA0000018BFC,light,AA000001169B,41.285656,1.722414
AA0000018BFD,light,AA000001169B,41.28482,1.722336
AA0000018BFE,light,AA000001169B,41.284788,1.722858
AA0000018C01,light,AA000001169B,41.28476,1.7233
AA0000018C02,light,AA000001169B,41.28532,1.723608
AA0000018C03,light,AA000001169B,41.285368,1.723678
AA0000018C04,light,AA000001169B,41.28546,1.723204
AA0000018C05,light,AA000001169B,41.285532,1.723713
AA0000018C06,light,AA000001169B,41.285372,1.723452
AA0000018C07,light,AA000001169B,41.285532,1.723007
AA0000018C08,light,AA000001169B,41.285332,1.721453
AA0000018C09,light,AA000001169B,41.28546,1.721367
AA0000018C0A,light,AA000001169B,41.284968,1.721416
AA0000018C0B,light,AA000001169B,41.285588,1.722832
AA0000018C0C,light,AA000001169B,41.285096,1.721402
AA0000018C0D,light,AA000001169B,41.285492,1.721544
AA0000018C0E,light,AA0000011290,41.282288,1.724187
AA0000018C0F,light,AA0000011290,41.282064,1.724239
AA0000018C10,light,AA0000011290,41.281784,1.723723
AA0000018C11,light,AA0000011290,41.282504,1.724273
AA0000018C12,light,AA0000011290,41.281772,1.723995
AA0000018C13,light,AA0000011290,41.282,1.724005
AA0000018C14,light,AA000000D44C,41.275364,1.722828
AA0000018C15,light,AA000000D44C,41.27636,1.723466
AA0000018C16,light,AA000000D44C,41.27582,1.723347
AA0000018C17,light,AA000000D44C,41.275576,1.723225
AA0000018C18,light,AA000000D44C,41.275276,1.722618
AA0000018C19,light,AA000000D44C,41.276084,1.723447
AA0000018C1A,light,AA000000D44C,41.277416,1.723735
AA0000018C1B,light,AA000000D44C,41.276904,1.72355
AA0000018C1C,light,AA000000D44C,41.277912,1.723703
AA0000018C1D,light,AA000000D44C,41.27716,1.723641
AA0000018C1E,light,AA000000D44C,41.27662,1.723497
AA0000018C1F,light,AA000000D44C,41.277608,1.723746
AA0000018C20,light,AA000000D44C,41.27674,1.723602
AA0000018C21,light,AA000000D44C,41.27808,1.723707
AA0000018C22,light,AA000000D44C,41.27752,1.723829
AA0000018C23,light,AA000000D44C,41.278304,1.723585
AA0000018C24,light,AA000000D44C,41.277764,1.723818
AA0000018C25,light,AA000000D44C,41.277264,1.723768
AA0000018C26,light,AA000001169B,41.287896,1.719403
AA0000018C27,light,AA000001169B,41.287912,1.719623
AA0000018C28,light,AA000001169B,41.284344,1.719389
AA0000018C29,light,AA000001169B,41.284216,1.719261
AA0000018C2A,light,AA000001169B,41.287808,1.719197
AA0000018C2B,light,AA000001169B,41.284496,1.719577
AA0000018C2C,light,AA000000D44C,41.276936,1.722598
AA0000018C2D,light,AA000000D44C,41.276392,1.722617
AA0000018C2E,light,AA000000D44C,41.275224,1.722437
AA0000018C2F,light,AA000000D44C,41.275472,1.723032
AA0000018C30,light,AA000000D44C,41.276668,1.7226
AA0000018C31,light,AA000000D44C,41.27612,1.722618
AA0000018C32,light,AA000001169B,41.285968,1.720801
AA0000018C33,light,AA000000D44C,41.274928,1.720998
AA0000018C34,light,AA0000011290,41.281688,1.72419
AA0000018C35,light,AA000001169B,41.285656,1.722665
