id,type,ebox_id,lat,lon,coordinates,zone
AA00000191B8,light,AA00000112CD,41.269888,1.723854,"{'lat': 41.269888, 'lon': 1.723854}",turistic
AA00000191B9,light,AA00000112CD,41.269944,1.723587,"{'lat': 41.269944, 'lon': 1.723587}",turistic
AA00000191BA,light,AA00000112CD,41.270012,1.723322,"{'lat': 41.270012, 'lon': 1.723322}",turistic
AA00000191BB,light,AA00000112CD,41.270276,1.723206,"{'lat': 41.270276, 'lon': 1.723206}",turistic
AA00000191BC,light,AA00000112CD,41.268612,1.727657,"{'lat': 41.268612, 'lon': 1.727657}",turistic
AA00000191BD,light,AA00000112CD,41.26862,1.727954,"{'lat': 41.26862, 'lon': 1.727954}",turistic
AA00000191BE,light,AA00000112CD,41.26864,1.727305,"{'lat': 41.26864, 'lon': 1.727305}",turistic
AA00000191BF,light,AA00000112CD,41.26882,1.727075,"{'lat': 41.26882, 'lon': 1.727075}",turistic
AA00000191C0,light,AA00000112CD,41.269076,1.726917,"{'lat': 41.269076, 'lon': 1.726917}",turistic
AA00000191C1,light,AA00000112CD,41.269284,1.726769,"{'lat': 41.269284, 'lon': 1.726769}",turistic
AA00000191C2,light,AA00000112CD,41.269512,1.726592,"{'lat': 41.269512, 'lon': 1.726592}",turistic
AA00000191C3,light,AA00000112CD,41.269688,1.726384,"{'lat': 41.269688, 'lon': 1.726384}",turistic
AA00000191C4,light,AA00000112CD,41.269836,1.726093,"{'lat': 41.269836, 'lon': 1.726093}",turistic
AA00000191C5,light,AA00000112CD,41.269956,1.725761,"{'lat': 41.269956, 'lon': 1.725761}",turistic
AA00000191C6,light,AA00000112CD,41.270108,1.725532,"{'lat': 41.270108, 'lon': 1.725532}",turistic
AA00000191C7,light,AA00000112CD,41.270308,1.72531,"{'lat': 41.270308, 'lon': 1.72531}",turistic
AA00000191C8,light,AA00000112CD,41.270496,1.725068,"{'lat': 41.270496, 'lon': 1.725068}",turistic
AA00000191C9,light,BB0005190123,41.27082,1.70066,"{'lat': 41.27082, 'lon': 1.70066}",south_west
AA00000191CA,light,AA00000112CD,41.271224,1.724936,"{'lat': 41.271224, 'lon': 1.724936}",turistic
AA00000191CB,light,AA00000112CD,41.271388,1.72475,"{'lat': 41.271388, 'lon': 1.72475}",turistic
AA00000191CC,light,AA00000112CD,41.271584,1.72454,"{'lat': 41.271584, 'lon': 1.72454}",turistic
AA00000191CD,light,AA00000112CD,41.271792,1.724335,"{'lat': 41.271792, 'lon': 1.724335}",turistic
AA00000191CE,light,AA00000112CD,41.272,1.724179,"{'lat': 41.272, 'lon': 1.724179}",turistic
AA00000191CF,light,AA00000112CD,41.272212,1.724057,"{'lat': 41.272212, 'lon': 1.724057}",south
AA00000191D0,light,AA00000112CD,41.273352,1.722494,"{'lat': 41.273352, 'lon': 1.722494}",south
AA00000191D1,light,AA00000112CD,41.273332,1.722168,"{'lat': 41.273332, 'lon': 1.722168}",south
AA00000191D2,light,AA00000112CD,41.273324,1.721897,"{'lat': 41.273324, 'lon': 1.721897}",south
AA00000191D3,light,AA00000112CD,41.271032,1.724506,"{'lat': 41.271032, 'lon': 1.724506}",turistic
AA00000191D4,light,AA00000112CD,41.27122,1.72428,"{'lat': 41.27122, 'lon': 1.72428}",turistic
AA00000191D5,light,AA00000112CD,41.271208,1.723951,"{'lat': 41.271208, 'lon': 1.723951}",turistic
AA00000191D6,light,AA00000112CD,41.271052,1.723713,"{'lat': 41.271052, 'lon': 1.723713}",turistic
AA00000191D7,light,AA00000112CD,41.270816,1.723478,"{'lat': 41.270816, 'lon': 1.723478}",turistic
AA00000191D8,light,AA00000112CD,41.271344,1.72411,"{'lat': 41.271344, 'lon': 1.72411}",turistic
AA00000191D9,light,AA00000112CD,41.271512,1.723843,"{'lat': 41.271512, 'lon': 1.723843}",turistic
AA00000191DA,light,AA00000112CD,41.27244,1.723943,"{'lat': 41.27244, 'lon': 1.723943}",south
AA00000191DB,light,AA00000112CD,41.272688,1.723812,"{'lat': 41.272688, 'lon': 1.723812}",south
AA00000191DC,light,AA00000112CD,41.272912,1.723675,"{'lat': 41.272912, 'lon': 1.723675}",south
AA00000191DD,light,AA00000112CD,41.273112,1.723484,"{'lat': 41.273112, 'lon': 1.723484}",south
AA00000191DE,light,AA00000112CD,41.273232,1.723192,"{'lat': 41.273232, 'lon': 1.723192}",south
AA00000191DF,light,AA00000112CD,41.273328,1.722837,"{'lat': 41.273328, 'lon': 1.722837}",south
AA00000191E0,light,AA00000112CD,41.27174,1.723703,"{'lat': 41.27174, 'lon': 1.723703}",turistic
AA00000191E1,light,AA00000112CD,41.26848,1.727956,"{'lat': 41.26848, 'lon': 1.727956}",turistic
AA00000191E2,light,AA00000112CD,41.268356,1.72782,"{'lat': 41.268356, 'lon': 1.72782}",turistic
AA00000191E3,light,AA00000112CD,41.268136,1.727636,"{'lat': 41.268136, 'lon': 1.727636}",turistic
AA00000191E4,light,AA00000112CD,41.268016,1.72733,"{'lat': 41.268016, 'lon': 1.72733}",turistic
AA00000191E5,light,AA00000112CD,41.26794,1.727031,"{'lat': 41.26794, 'lon': 1.727031}",turistic
AA00000191E6,light,AA00000112CD,41.26796,1.726739,"{'lat': 41.26796, 'lon': 1.726739}",turistic
AA00000191E7,light,AA00000112CD,41.267976,1.726493,"{'lat': 41.267976, 'lon': 1.726493}",turistic
AA00000191E8,light,AA00000112CD,41.268036,1.726178,"{'lat': 41.268036, 'lon': 1.726178}",turistic
AA00000191E9,light,AA00000112CD,41.268156,1.725458,"{'lat': 41.268156, 'lon': 1.725458}",turistic
AA00000191EA,light,AA00000112CD,41.268232,1.725087,"{'lat': 41.268232, 'lon': 1.725087}",turistic
AA00000191EB,light,AA0000011681,41.274656,1.721346,"{'lat': 41.274656, 'lon': 1.721346}",south
AA00000191EC,light,AA00000112CD,41.268352,1.724448,"{'lat': 41.268352, 'lon': 1.724448}",turistic
AA00000191ED,light,AA000001167D,41.27214,1.728939,"{'lat': 41.27214, 'lon': 1.728939}",south
AA00000191EE,light,AA000001167D,41.272384,1.728764,"{'lat': 41.272384, 'lon': 1.728764}",south
AA00000191EF,light,AA00000112CD,41.268392,1.724211,"{'lat': 41.268392, 'lon': 1.724211}",turistic
AA00000191F0,light,AA00000112CD,41.269576,1.722602,"{'lat': 41.269576, 'lon': 1.722602}",turistic
AA00000191F2,light,AA00000112CD,41.269984,1.72223,"{'lat': 41.269984, 'lon': 1.72223}",turistic
AA00000191F3,light,AA00000112CD,41.270144,1.721989,"{'lat': 41.270144, 'lon': 1.721989}",turistic
AA00000191F4,light,AA00000112CB,41.283072,1.74949,"{'lat': 41.283072, 'lon': 1.74949}",east
AA00000191F5,light,AA00000112CD,41.270388,1.721417,"{'lat': 41.270388, 'lon': 1.721417}",turistic
AA00000191F6,light,AA00000112CD,41.27052,1.721133,"{'lat': 41.27052, 'lon': 1.721133}",turistic
AA00000191F8,light,AA00000112CD,41.270752,1.720585,"{'lat': 41.270752, 'lon': 1.720585}",turistic
AA00000191F9,light,AA00000112CD,41.270884,1.720343,"{'lat': 41.270884, 'lon': 1.720343}",turistic
AA00000191FA,light,AA00000112CD,41.268448,1.723917,"{'lat': 41.268448, 'lon': 1.723917}",turistic
AA00000191FB,light,AA00000112CD,41.268664,1.72322,"{'lat': 41.268664, 'lon': 1.72322}",turistic
AA00000191FC,light,AA00000112CD,41.268892,1.722974,"{'lat': 41.268892, 'lon': 1.722974}",turistic
AA00000191FD,light,AA0000011681,41.275692,1.725491,"{'lat': 41.275692, 'lon': 1.725491}",south
AA00000191FE,light,AA00000112CD,41.269324,1.722653,"{'lat': 41.269324, 'lon': 1.722653}",turistic
AA0000019201,light,AA00000112CD,41.267088,1.724872,"{'lat': 41.267088, 'lon': 1.724872}",turistic
AA0000019202,light,AA00000112CD,41.267912,1.723742,"{'lat': 41.267912, 'lon': 1.723742}",turistic
AA0000019203,light,AA00000112CD,41.268488,1.72354,"{'lat': 41.268488, 'lon': 1.72354}",turistic
AA0000019204,light,AA00000112CD,41.268476,1.723581,"{'lat': 41.268476, 'lon': 1.723581}",turistic
AA0000019205,light,AA00000112CD,41.26846,1.723547,"{'lat': 41.26846, 'lon': 1.723547}",turistic
AA0000019206,light,AA00000112CD,41.268824,1.730948,"{'lat': 41.268824, 'lon': 1.730948}",south
